"","subID","Exclusion_preScreen","Exclusion_postScreen","Exclude","PowerLevel","PublicPattern","PrivatePattern","PublicVoteCount","PrivateVoteCount","yellowVotesToFirstBlue","yellowBeliefsToFirstBlue","Spkr2_Flip","all_or_none","Measure","SpkrID","Values"
"132",20,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr3",5
"133",20,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr4",3
"134",20,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr5",1
"135",20,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr2",1
"136",20,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr3",5
"137",20,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr4",5
"138",20,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr5",1
"139",20,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","Decision","TeamChoice",1
"140",20,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","Decision","AccurateChoice",3
"141",21,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr2",5
"142",21,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr3",3
"143",21,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr4",2
"144",21,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr5",1
"145",21,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr2",5
"146",21,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr3",3
"147",21,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr4",1
"148",21,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr5",1
"149",21,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","Decision","TeamChoice",3
"150",21,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","Decision","AccurateChoice",10
